author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Ritland, Marcus","Marcus Ritland","3D Printing With SketchUp","3D Printing With SketchUp","9781783284573","2014-05-20T14:00:00+10:00","Packt Publishing","","1.0"
"Lubna","Lubna","7027OS graphics","7027OS graphics","","2012-09-24T15:30:12+10:00","","","1.0"
"Curtis, Keith Cary","Keith Cary Curtis","After the Software Wars","After the Software Wars","9780578011899","2009-02-19T23:00:00+10:00","Keith Curtis","","1.0"
"Contributors, The","The Contributors","Airtime","Airtime","","0101-01-01T10:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","1.0"
"James, Daniel","Daniel James","Airtime 2.5 for Broadcasters","Airtime 2.5 for Broadcasters","","2011-07-11T00:00:00+10:00","Sourcefabric","","1.0"
"Haring, Scott","Scott Haring","AliensCS.qxd","AliensCS.qxd","","2006-04-14T07:36:29+10:00","","","1.0"
"Ratabouil, Sylvain","Sylvain Ratabouil","Android NDK Beginner's Guide","Android NDK Beginner's Guide","9781849691529","2012-01-26T00:00:00+10:00","Packt Publishing","","1.0"
"Unknown","Unknown","anttonen salminen building 3d webgl applic","anttonen salminen building 3d webgl applic","","2011-09-29T18:46:24+10:00","","","1.0"
"Contributors, The","The Contributors","ARDOUR","ARDOUR","","2010-12-06T23:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","1.0"
"Unknown","Unknown","AROS","AROS","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Bryant, Russell & Meggelen, Jim van","Russell Bryant & Jim van Meggelen","Asterisk: The Definitive Guide","Asterisk: The Definitive Guide","9781449332426","2013-06-10T00:00:00+10:00","O'Reilly Media","","1.0"
"Contributors, The","The Contributors","Audio Production","Audio Production","","2010-12-20T23:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","1.0"
"Feilner, Markus & Graf, Norbert","Markus Feilner & Norbert Graf","Beginning OpenVPN 2.0.9","Beginning OpenVPN 2.0.9","9781847197061","2009-12-02T23:00:00+10:00","Packt Publishing","","1.0"
"Unknown","Unknown","Benkler Wealth Of Networks","Benkler Wealth Of Networks","","2006-01-27T20:31:26+10:00","","","1.0"
"Unknown","Unknown","Bit History of Internet, A","A Bit History of Internet","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Unknown","Unknown","Blender 3D","Blender 3D","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Brito, Allan","Allan Brito","Blender 3D 2.49 Architecture, Buildings, and Scenery","Blender 3D 2.49 Architecture, Buildings, and Scenery","9781849510493","2010-09-02T00:00:00+10:00","Packt Publishing Ltd","","1.0"
"Brito, Allan","Allan Brito","Blender 3D Architecture, Buildings, and Scenery","Blender 3D Architecture, Buildings, and Scenery","9781281386441","2008-05-30T00:00:00+10:00","Packt Publishing","","1.0"
"Fisher, Gordon","Gordon Fisher","Blender 3D Basics Beginner's Guide Second Edition","Blender 3D Basics Beginner's Guide Second Edition","9781322085463","2014-08-26T00:00:00+10:00","Packt Publishing","","1.0"
"Fisher, Gordon","Gordon Fisher","Blender 3D Printing Essentials","Blender 3D Printing Essentials","9781783284597","2013-11-20T14:00:00+10:00","Packt Publishing","","1.0"
"Bacone, Victor Kuller","Victor Kuller Bacone","Blender Game Engine: Beginner's Guide","Blender Game Engine: Beginner's Guide","9781849517027","2012-09-24T00:00:00+10:00","Packt Publishing","","1.0"
"al, Trevor Parsons et","Trevor Parsons et al","Booktype 1.6 for Authors and Publishers","Booktype 1.6 for Authors and Publishers","","2013-02-17T23:00:00+10:00","Sourcefabric","","1.0"
"Unknown","Unknown","Bourne shell scripting","Bourne shell scripting","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Unknown","Unknown","BourneShellScripting","BourneShellScripting","","0101-01-01T10:00:00+10:00","","","1.0"
"Swartz, Aaron & Lessig, Lawrence","Aaron Swartz & Lawrence Lessig","Boy Who Could Change the World: The Writings of Aaron Swartz, The","The Boy Who Could Change the World: The Writings of Aaron Swartz","9781620970669","2016-01-05T00:00:00+10:00","The New Press","","1.0"
"Unknown","Unknown","Building a Beowulf Cluster","Building a Beowulf Cluster","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Boomer, Tad","Tad Boomer","Building Websites With E107","Building Websites With E107","1904811310","2007-02-25T23:00:00+10:00","Packt Publishing","","1.0"
"Faludi, Robert","Robert Faludi","Building Wireless Sensor Networks: With ZigBee, XBee, Arduino, and Processing","Building Wireless Sensor Networks: With ZigBee, XBee, Arduino, and Processing","9781449302740","2010-12-13T23:00:00+10:00","O'Reilly Media","","1.0"
"Schember, John","John Schember","Calibre Quick Start Guide","Calibre Quick Start Guide","","0101-01-01T10:00:00+10:00","","","1.0"
"v1.2","v1.2","Campaign Guide","Campaign Guide","","2005-03-02T09:35:24+10:00","VBAM games","","1.0"
