author_sort,authors,comments,cover,formats,id,identifiers,isbn,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,timestamp,title,title_sort,uuid,#read,#website
"Ritland, Marcus","Marcus Ritland","Real-world case studies to help you design models in SketchUp for 3D printing on anything ranging from the smallest desktop machines to the largest industrial 3D printers

**Overview**

  * Learn how to design beautiful architectural models that will print on any 3D printer
  * Packed with clearly illustrated examples to show you just how to design for 3D printing
  * Discover the essential extensions and companion programs for 3D printing your models

**In Detail**

As 3D printing is becoming more accessible, it is important for designers and architects to know how to utilize the technology. SketchUp is a popular 3D modelling tool and is among the easiest programs to work with as a beginner. Whether printing on your desktop, or outsourcing to a commercial 3D print service, this is a skill you'll want in your portfolio.

Starting with an overview of 3D printing technologies, you will learn how to design SketchUp models for 3D printing, set up a template for 3D printing, explore the specific requirements for a 3D printable model, and look at the essential SketchUp extensions for 3D printing. You will start by printing a simple 3D model, progress to importing images that can be used to make 3D models, and move on to tweaking the model for specific 3D printers.  
This book delves into the most important concepts for designing 3D printable models, from wall thickness and modelling solids, to using available models and adapting them to your needs. 

You will also learn where to access, and more importantly, how to adapt existing 3D models available online for your own use. Finally, this book will show how it’s possible to use Google Earth terrain and modify existing architectural SketchUp models before printing.

**What you will learn from this book**

  * Understand how 3D printing works, and why you may need to design your model differently for different printing processes
  * Discover tips to make the modelling process easier, extensions to help you work faster, and how to make any model printable
  * Find online models and expedite the modelling process by working from an existing modelAdapt architectural models built for rendering into full-color 3D printable models
  * Import terrain data from Google Earth to SketchUp and work with terrain data to make it printable

**Approach**

This book teaches practical techniques using real-world case studies to help you design models that print right the first time.

**
","/home/tom/Calibre Library/Marcus Ritland/3D Printing With SketchUp (140)/cover.jpg","epub, pdf","140","isbn:9781783284573,amazon:1783284579","9781783284573","eng","Calibre Library","2014-05-20T14:00:00+10:00","Packt Publishing","5","","1.0","11452911","","2015-10-27T16:12:03+10:00","3D Printing With SketchUp","3D Printing With SketchUp","31948827-8fbb-4529-8ac6-9c3903530e64","True",""
"Lubna","Lubna","","/home/tom/Calibre Library/Lubna/7027OS graphics (178)/cover.jpg","pdf","178","","","","Calibre Library","2012-09-24T15:30:12+10:00","","","","1.0","9250740","","2016-09-10T16:11:38+10:00","7027OS graphics","7027OS graphics","37075c6a-850b-473d-b974-b91ea70c7baa","",""
"Curtis, Keith Cary","Keith Cary Curtis","Computers are an advancement whose importance is comparable to the invention of the wheel or movable type. While computers and the Internet have already changed many aspects of our lives, we still live in the dark ages of computing because proprietary software is still the dominant model. One might say that the richest alchemist who ever lived is my former boss, Bill Gates. (Oracle founder Larry Ellison, and Google co-founders Sergey Brin and Larry Page are close behind.) Human knowledge increasingly exists in digital form, so building new and better models requires the software to be improved. People can only share ideas when they also share the software to display and modify them. It is the expanded use of free software that will allow a greater ability for people to work together and increase the pace of progress. This book will demonstrate that a system where anyone can edit, share, and review the body of work will lead not just to something that works, but eventually to the best that the world can achieve! With better cooperation among our scientists, robot-driven cars is just one of the many inventions that will arrive -- pervasive robotics, artificial intelligence, and much faster progress in biology, all of which rely heavily on software. - Publisher.
","/home/tom/Calibre Library/Keith Cary Curtis/After the Software Wars (17)/cover.jpg","epub","17","google:J7sB9-oQjvwC,isbn:9780578011899,amazon:0578011891","9780578011899","eng","Calibre Library","2009-02-19T23:00:00+10:00","Keith Curtis","3","","1.0","7832967","Business & Economics, General, Computers","2015-10-27T16:12:15+10:00","After the Software Wars","After the Software Wars","51e0739a-451f-4a48-a36b-19c6478f36e5","True",""
"Contributors, The","The Contributors","","/home/tom/Calibre Library/The Contributors/Airtime (92)/cover.jpg","epub","92","booki.cc:http://booki.flossmanuals.net/airtime/2012.04.23-18.47","","eng","Calibre Library","0101-01-01T10:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","","1.0","6228237","","2015-10-27T16:12:28+10:00","Airtime","Airtime","10831055-8180-4c48-a371-46d73e36962f","",""
"James, Daniel","Daniel James","","/home/tom/Calibre Library/Daniel James/Airtime 2.5 for Broadcasters (141)/cover.jpg","epub","141","","","eng","Calibre Library","2011-07-11T00:00:00+10:00","Sourcefabric","","","1.0","12629423","","2015-10-27T16:12:23+10:00","Airtime 2.5 for Broadcasters","Airtime 2.5 for Broadcasters","457bfd7a-0b69-46df-a39e-8abb267fc47d","",""
"Haring, Scott","Scott Haring","","/home/tom/Calibre Library/Scott Haring/AliensCS.qxd (126)/cover.jpg","pdf","126","","","eng","Calibre Library","2006-04-14T07:36:29+10:00","","","","1.0","14278102","","2015-12-03T01:53:21+10:00","AliensCS.qxd","AliensCS.qxd","92803dcc-64b2-424f-aa8f-cb0d4fc95814","",""
"Ratabouil, Sylvain","Sylvain Ratabouil","This beginner's guide focuses on getting you through all the major learning points in a smooth, logical order. You'll also see how to avoid some common pitfalls. Are you an Android Java programmer who needs more performance? Are you a C/C++ developer who doesn't want to bother with Java stuff and its out-of-control garbage collector? Do you want to create fast intensive multimedia applications or games? Answer yes to any of the above and this book is for you. With some general knowledge of C/C++ development, you will be able to dive head first into native Android development.

**
","/home/tom/Calibre Library/Sylvain Ratabouil/Android NDK Beginner's Guide (147)/cover.jpg","epub, pdf, zip","147","isbn:9781849691529,amazon:1849691525","9781849691529","eng","Calibre Library","2012-01-26T00:00:00+10:00","Packt Publishing","4","","1.0","118142200","","2015-12-25T05:15:15+10:00","Android NDK Beginner's Guide","Android NDK Beginner's Guide","9d04a55f-8925-4bcd-ad46-a052ff172256","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/anttonen salminen building 3d webgl applic (174)/cover.jpg","pdf","174","","","","Calibre Library","2011-09-29T18:46:24+10:00","","","","1.0","482365","","2016-09-10T16:10:49+10:00","anttonen salminen building 3d webgl applic","anttonen salminen building 3d webgl applic","fc5c29ed-d27a-442f-9485-21b1b6d10fce","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/anttonen salminen building 3d webgl applications (76)/cover.jpg","pdf","76","","","eng","Calibre Library","2011-09-29T18:46:24+10:00","","","","1.0","482365","","2015-12-22T05:35:43+10:00","anttonen salminen building 3d webgl applications","anttonen salminen building 3d webgl applications","238488cf-9ae6-494b-a04b-b3d3677582e3","",""
"Contributors, The","The Contributors","","/home/tom/Calibre Library/The Contributors/ARDOUR (90)/cover.jpg","epub","90","booki.cc:http://booki.flossmanuals.net/ardour/2011.03.10-07.34","","eng","Calibre Library","2010-12-06T23:00:00+10:00","FLOSS Manuals http://flossmanuals.net","","","1.0","10102510","","2015-10-27T16:12:35+10:00","ARDOUR","ARDOUR","0fbe1be6-8b0b-422f-b2e1-1bddee22a81a","",""
