"read","isbn:?name=minitel",,"page: 213","15/12/2017"
"read","isbn:?name=minitel","minitel ads were hated just as much as todays internet ads","page: 216-217","15/12/2017"
"bookmark","Imdb:?name=journey 1",,,"15/12/2017"
"bookmark","imdb:?name=journey 2",,,"15/12/2017"
"read","isbn:?name=minitel",,"page: 251","16/12/2017"
"bookmark","isbn:?title=and the orgins of computer art",,,"16/12/2017"
"read","isbn:?name=cluter-free",,"page:2","16/12/2017"
"read","isbn:?name=minitel",,"page: finshed","16/12/2017"
"read","isbn:?name=clutter-free",,"page:finshed","16/12/2017"
"read","isbn:?name=what your clutter is trying to tell you",,"page: 1","16/12/2017"
"twitter",,"not again,13 people injured @ Flinders Street and Elizabeth Street Melbourne, au",,"21/12/2017"
"twitter",,"xmas, yay humbug",,"25/12/2017"
"watch","imdb:?title=emoji movie","I just saw the emoji movie, meh",,"26/12/2017"
"watch","imdb:?title=moster truckers (2016)","I just saw moster truckers, it was ok",,"26/12/2017"
"bookmark","imdb: ?title=jumanji  (2016)",,,"26/12/2017"
"bookmark","imdb:?name=downsizing",,,"26/12/2017"
"watch","imdb:?name=jumanji (1995)","I just saw jumanji (1995) it was better than I remember",,"27/12/2017"
"twitter",,"hot-cross buns are on the shelf to buy, WTF",,"28/12/2017"
"todo","website","i need to create a style guide for my website",,"29/12/2017"
"twitter",,"has my fetchtv remote fuck up?",,"29/12/2017"
"twitter",,"has fetchtv fuckup again?",,"29/12/2017"
"twitter",,"the fetchtv remote is working nornally WTF",,"31/12/2017"
