"twitter","","its been 12 months sinceth glenfliet fire","","15/12/2017"
"read","isbn: minitel","","page: 213","15/12/2017"
"read","isbn: minitel","minitel ads were hated just as much as todays internet ads","page: 216-217","15/12/2017"
"bookmark","journey 1 and 2","","","15/12/2017"
"read","isbn: minitel","","page: 251","16/12/2017"
"bookmark","isbn:and the orgins of computer art","","","16/12/2017"
"read","isbn: cluter-free","","page:2","16/12/2017"
"read","isbn:minitel","","page: finshed","16/12/2017"
"read","isbn:clutter-free","","page:finshed","16/12/2017"
"read","isbn: what your clutter is tring to tell you","","page: 1","16/12/2017"
