Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
226330,"Blow-Up: Inflatable Art, Architecture and Design (Art & Design)",Sean Topham,"Topham, Sean",,"=""3791326872""","=""9783791326870""",0,3.83,Prestel Publishing,Hardcover,160,2002,2002,,2017/04/17,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
1113582,Where's My Space Age?: The Rise and Fall of Futuristic Design,Sean Topham,"Topham, Sean",,"=""3791328441""","=""9783791328447""",0,3.67,Prestel Publishing,Paperback,160,2003,2003,,2017/04/17,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
9557285,A History of the Internet and the Digital Future,Johnny Ryan,"Ryan, Johnny",,"=""1861897774""","=""9781861897770""",0,3.70,Reaktion Books,Hardcover,246,2010,2010,,2017/03/05,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
722414,Computer Lib; Dream Machines,Theodore H. Nelson,"Nelson, Theodore H.",,"=""0914845497""","=""9780914845492""",0,4.56,Microsoft Press,Paperback,336,1987,1974,,2017/01/12,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
753865,Inventing the Internet,Janet Abbate,"Abbate, Janet",,"=""0262511150""","=""9780262511155""",0,3.86,Mit Press,Paperback,268,2000,1999,,2017/01/11,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
23398715,"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",Stephen Richard Witt,"Witt, Stephen Richard",,"=""0525426612""","=""9780525426615""",0,4.21,Viking,Hardcover,296,2015,2015,,2016/12/31,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
8021109,"Mashed Up: Music, Technology, And The Rise Of Configurable Culture (Science/Technology/Culture)",Aram Sinnreich,"Sinnreich, Aram",,"=""155849829X""","=""9781558498297""",0,3.85,University of Massachusetts Press,Paperback,241,2010,2010,,2016/12/28,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
33627453,The Carrot Or The Stick?  Innovation vs. Anti-Piracy Enforcement,Copia,"Copia, Copia",,"=""""","=""""",0,0.0,,,,2015,,,2016/12/28,"to-read, copyright","to-read (#84), copyright (#3)",to-read,,,,0,,,0,,,,,
24566096,The Piracy Crusade: How the Music Industry's War on Sharing Destroys Markets and Erodes Civil Liberties (Science/Technology/Culture),Aram Sinnreich,"Sinnreich, Aram",,"=""""","=""""",0,4.07,University of Massachusetts Press,Kindle Edition,260,2014,2013,2016/12/29,2016/12/28,copyright,copyright (#2),read,,,,1,,,0,,,,,
24848941,Three.js Cookbook,Jos Dirksen,"Dirksen, Jos",,"=""""","=""""",0,4.00,Packt Publishing,Kindle Edition,300,2015,2015,,2016/12/28,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
2748098,Born Digital: Understanding the First Generation of Digital Natives,John Palfrey,"Palfrey, John",Urs Gasser,"=""0465005152""","=""9780465005154""",0,3.51,Basic Books,Hardcover,288,2008,2008,,2016/12/27,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
687920,"The Internet Galaxy: Reflections on the Internet, Business, and Society",Manuel Castells,"Castells, Manuel",,"=""0199255776""","=""9780199255771""",0,3.75,"Oxford University Press, USA",Paperback,304,2003,2001,,2016/12/27,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
3345583,"Content: Selected Essays on Technology, Creativity, Copyright, and the Future of the Future",Cory Doctorow,"Doctorow, Cory",,"=""1892391813""","=""9781892391810""",0,3.81,Tachyon Publications,Paperback,213,2008,2008,,2016/12/27,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
